tick,robot,x,y,heading,fwd_cmd,lat_cmd,yaw_cmd,dpos,d_collisions,dist_to_target
54,1,136.5,84.28,-1.159,1.0,0.0,0.02,0.11,1,13.5
54,2,42.57,13.68,-0.666,0.867,0.0,-0.745,0.12,0,
54,3,13.61,42.72,2.067,0.986,0.0,0.24,0.12,1,
55,0,109.03,112.15,-1.976,0.947,0.0,-0.466,1.421,0,21.3
55,1,136.5,84.17,-1.155,1.0,0.0,0.02,0.11,1,13.4
55,2,42.76,13.53,-0.781,0.923,0.0,-0.564,0.24,0,
55,3,13.55,42.83,2.132,0.996,0.0,0.121,0.12,0,
56,0,108.46,110.82,-2.038,0.962,0.0,-0.394,1.443,0,19.9
56,1,136.5,84.06,-1.152,1.0,0.0,0.021,0.11,1,13.3
56,2,43.02,13.28,-0.877,0.959,0.0,-0.412,0.36,0,
56,3,13.42,43.03,2.178,1.0,0.0,0.027,0.24,0,
57,0,107.8,109.52,-2.091,0.973,0.0,-0.334,1.459,0,18.5
57,1,136.5,83.95,-1.149,1.0,0.0,0.021,0.11,1,13.2
57,2,43.32,12.91,-0.957,0.98,0.0,-0.286,0.48,0,
57,3,13.22,43.32,2.207,0.999,0.0,-0.047,0.36,0,
58,0,107.07,108.25,-2.136,0.98,0.0,-0.285,1.47,0,17.0
58,1,136.5,83.84,-1.145,1.0,0.0,0.021,0.109,1,13.1
58,2,43.67,12.42,-1.019,0.992,0.0,-0.185,0.6,0,
58,3,12.93,43.71,2.219,0.997,0.0,-0.104,0.48,0,
59,0,106.28,107.0,-2.174,0.985,0.0,-0.246,1.478,0,15.6
59,1,136.5,83.73,-1.142,1.0,0.0,0.021,0.109,1,13.0
59,2,44.05,11.81,-1.063,0.997,0.0,-0.108,0.72,0,
59,3,12.57,44.19,2.213,0.995,0.0,-0.145,0.6,0,
60,0,105.44,105.78,-2.208,0.989,0.0,-0.214,1.483,0,14.1
60,1,136.5,83.62,-1.139,1.0,0.0,0.022,0.109,1,12.9
60,2,44.32,11.32,-1.125,0.0,0.0,-1.0,0.56,0,
60,3,12.14,44.77,2.189,0.962,0.0,-0.395,0.72,0,
61,0,104.55,104.58,-2.237,0.991,0.0,-0.188,1.487,0,12.6
61,1,136.5,83.51,-1.135,1.0,0.0,0.022,0.109,1,12.8
61,2,44.49,10.96,-1.204,0.0,0.0,-1.0,0.4,0,
61,3,11.65,45.45,2.148,0.967,0.0,-0.371,0.84,0,
62,0,103.63,103.41,-2.264,0.993,0.0,-0.168,1.49,0,11.2
62,1,136.5,83.4,-1.132,1.0,0.0,0.022,0.109,1,12.7
62,2,44.58,10.73,-1.301,0.0,0.0,-1.0,0.24,0,
62,3,11.13,46.25,2.098,0.975,0.0,-0.323,0.96,0,
63,0,102.68,102.26,-2.288,0.994,0.0,-0.153,1.491,0,9.7
63,1,136.5,83.29,-1.128,1.0,0.0,0.023,0.109,1,12.6
63,2,44.6,10.65,-1.415,0.0,0.0,-1.0,0.08,0,
